Concerti 2023,,,,,,,,,,
#,Data,Evento,,Luogo,Tipologia,Artista/i,Costo,,Concerti,54
49,10/11/2023,Alfa Mist @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
50,11/11/2023,Ibisco @ Covo Club,,"Covo Club, Bologna",Concerto,1,,,,
51,14/11/2023,Daniela Pes @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
52,17/11/2023,Studio Murena @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
53,18/11/2023,Indianaizer @ Binario 69,,"Binario 69, Bologna",Concerto,1,,,,
54,30/11/2023,Greta Van Fleet @ Unipol Arena,,"Unipol Arena, Bologna",Concerto,1,,,,
55,02/12/2023,"Chow, Forty Wings @ Circolo Dev",,"Circolo Dev, Bologna",Concerto,2,,,,
56,03/12/2023,Calcutta @ Unipol Arena,,"Unipol Arena, Bologna",Concerto,1,,,,
57,04/12/2023,Marco Castello @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
58,08/12/2023,99 Posse @ TPO,,"TPO, Bologna",Concerto,1,,,,
59,14/12/2023,Giovanni Truppi @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
60,15/12/2023,Destrage @ Locomotiv Club,,"Locomotiv Club, Bologna",Concerto,1,,,,
61,16/12/2023,Tropico @ Estragon,,"Estragon, Bologna",Concerto,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
