#,Data,Evento,,Luogo,Tipologia,Artista/i,Costo,,Concerti,42
1,07/05/2021,Ottone Pesante,,"FreakOut, Bologna",Concerto,1,"€ 6,00",,Festival,2
2,28/05/2021,Vipera,,"FreakOut, Bologna",Concerto,1,"€ 6,00",,Presentazione CD,1
,01/06/2021,Espana Circo Este @ BologninAlive,,"Villa Angeletti, Bologna",Concerto,1,"€ 0,00",,,
3,08/06/2021,Calibro 35 @ Sunshine Superheroes,,"Arena Puccini, Bologna",Concerto,1,"€ 22,00",,DJ Set,0
4,11/06/2021,CUT / The Procrastinators / CHOW - UP WELL!,,Bologna,Concerto,3,"€ 0,00",,,
5,12/06/2021,Coma_Cose @ Sunshine Superheroes,,"Arena Puccini, Bologna",Concerto,1,"€ 25,00",,Totale live,45
6,15/06/2021,Gazebo Penguins,,"Covo Club, Bologna",Concerto,1,"€ 15,00",,,
7,22/06/2021,Lo Stato Sociale @ NOVA,,"Dumbo, Bologna",Concerto,1,"€ 25,30",,,
7,29/06/2021,Fatouma Diawara + Afrodelic @ NOVA,,"Dumbo, Bologna",Concerto,2,"€ 0,00",,Totale artisti live,61
8,01/07/2021,Soviet Soviet + Massimo Volume @ Ferrara Sotto Le Stelle,,Ferrara,Concerto,2,"€ 23,00",,,
9,04/07/2021,Ministri @ NOVA,,"Dumbo, Bologna",Concerto,1,"€ 18,70",,,
10,05/07/2021,Gnut @ Frida Nel Parco,,Montagnola,Concerto,1,"€ 0,00",,,
11,13/07/2021,The Zen Circus @ Nova,,"Dumbo, Bologna",Concerto,1,"€ 30,00",,,
12,16/07/2021,Tre Allegri Ragazzi Morti @ Nova,,"Dumbo, Bologna",Concerto,1,"€ 18,70",,,
13,18/07/2021,Colapesce DiMartino @ Nova,,"Dumbo, Bologna",Concerto,1,"€ 35,42",,,
14,22/07/2021,Bologna Violenta @ Frida Nel parco,,"Montagnola, Bologna",Concerto,1,"€ 0,00",,,
15,23/07/2021,Nero di Marte @ Dev,,Bologna,Concerto,1,"€ 0,00",,,
