#,Data,Evento,,Location,Città,Tipologia,Artista/i
56,10/08/2014,Levante + Mama Marjas @  Le notti dell' aspide,,,Roccadaspide (SA),Festival,3
57,31/07/2014,Fiorella Mannoia,,Mura greche,Gela (CL),Concerto,1
58,14/03/2015,Sabba e gli Incensurabili ,,Club 33 Giri ,Santa Maria Capua Vetere (CE),Concerto,1
59,20/03/2015,Caparezza - Sogno Eretico ,,Palaparthenope,Napoli,Concerto,1
60,23/05/2015,Pepp - Oh 'Sono un cantante di rap' live,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
61,21/06/2015,Sabba e gli Incensurabili - Gnut - Ex Otago @ La Musica può fare 4,,Villa Gaetano Cappabianca,Santa Maria Capua Vetere (CE),Festival,3
62,09/07/2015,AC/DC - Rock Or Bust World Tour,,Autodromo Enzo e Dino Ferrari,Imola,Concerto,2
63,25/07/2015,Giorgio Moroder @ Esthate Market Sound,,,MIlano,Concerto,2
64,04/09/2015,Caparezza | Museica tour,,Carroponte,Milano,Concerto,1
65,18/09/2015,"Ministri presentano ""Cultura Generale""                ",,Mondadori,Milano    ,Concerto,1
66,24/10/2015,Ministri,,Estragon Club,Bologna,Concerto,1
67,01/01/2016,Capodanno Popular,,TPO,Bologna,DJ Set,1
68,09/01/2016,The Lovesick Duo + The Same Old Shoes Feat Zimmy Martini ,,Locomotiv Club,Bologna,Concerto,2
69,15/01/2016,Diaframma plays Siberia,,Locomotiv Club,Bologna,Concerto,1
70,22/01/2016,Erica Mou,,Cortile Cafè,Bologna,Concerto,1
71,23/01/2016,Aucan & Godblesscomputers,,TPO,Bologna,Concerto,2
72,28/01/2016,Musica per Bambini,,Cortile Cafè,Bologna,Concerto,1
73,26/02/2016,Ministri + Giungla,,TPO,Bologna,Concerto,1
74,11/03/2016,Tinturia,,Bravo Caffè,Bologna,Concerto,2
75,12/03/2016,The Rivati,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
76,20/03/2016,Spartiti,,Teatro del Navile,Bologna,Concerto,1
77,31/03/2016,Gli Slavi,,Cortile Cafè,Bologna,Concerto,1
78,02/04/2016,Iosonouncane,,Locomotiv Club,Bologna,Concerto,1
79,08/04/2016,Tre Allegri Ragazzi Morti,,Estragon Club,Bologna,Concerto,1
80,09/04/2016,Maiole,,Montagnola,Bologna,Concerto,1
81,01/05/2016,Bandabardò + Dardust (1° Maggio),,Piazza Maggiore,Bologna,Concerto,2
82,07/05/2016,Francesco Motta,,Locomotiv Club,Bologna,Concerto,1
83,22/05/2016,99 Posse + Assalti Frontali,,Laboratorio Crash,Bologna,Concerto,2
84,25/05/2016,Eugenio Finardi ,,Circolo ARCI Il Poggiolo,Marzabotto (BO),Concerto,1
85,27/05/2016,Bologna Violenta,,Freakout Club,Bologna,Concerto,1
86,28/05/2016,Ministri + others @  Mi Ami Festival,,Circolo Magnolia,Milano,Concerto,F
87,29/05/2016,"Vinicio Capossella presenta ""Canzoni della Cupa""",,Feltrinelli di Piazza Ravegnana,Bologna,Concerto,1
88,02/06/2016,Rammstein - Korn - Megadeth @  Gods Of Metal,,Autodromo Nazionale Monza,Monza,Presentazione Album,F
89,05/06/2016,Spartiti @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
90,06/06/2016,Giungla + Niagara + LIM @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,2
91,10/06/2016,Nada feat. A Toys Orchestra,,Parco del Cavaticcio,Bologna,Concerto,1
92,11/06/2016,"Afterhours presentazione ""Folfiri o Folfox""",,Feltrinelli di Piazza Ravegnana,Bologna,Presentazione Album,1
93,14/06/2016,Calcutta @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
94,18/06/2016,España Circo Este @ Botanique,,Giardini Gilippo Re,Bologna,Concerto,1
95,19/06/2016,WrongOnYou + Phill Reynolds @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,2
96,20/06/2016,Giorgio Canali & Rossofuoco @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
97,22/06/2016,Giovanni Lindo Ferretti @ Botanique,,Giardini Gilippo Re,Bologna,Concerto,1
98,27/06/2016,Joe Victor - Epo - Therivati  @ La Musica può Fare 3,,Villa Cristina,Santa Maria Capua Vetere (CE)	,Festival,F
99,03/07/2016,Ancora #3,,Covo Club,Bologna,Festival,2
100,09/07/2016,Mondiali Antirazzisti (RFC + Punkreas),,"Bosco Albergati, Via Lavichielle 6",Castelfranco Emilia (MO),Concerto,2
101,11/07/2016,David Gilmour - Rattle that rock tour,,Arena di Verona,Arena di Verona,Concerto,1
102,15/07/2016,Nobraino  @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1
103,20/07/2016,Gnut,,Giardino Pincherlè,Bologna,Concerto,1
104,22/07/2016,The Niro,,Giardino Pincherlè,Bologna,Concerto,1
105,23/07/2016,Mau Mau @ Botanique,,Giardini Gilippo Re,Bologna,Concerto,1
106,25/07/2016,Musica per Bambini,,Giardino Pincherlè,Bologna,Concerto,1
107,30/07/2016,Fuori dalla Giungla,,Làbas,Bologna,Concerto,1
108,06/08/2016,Airway + Afterhours @ Suoni Di Marca,,,Treviso,Concerto,2
109,14/08/2016,- NOFX + STRUNG OUT + A Wilhelm Scream + Talco @ Bay Fest,,Beky Bay,Bellaria Igea Marina (RN),Festival,F
110,15/08/2016,Screeching Weasel + Satanic Surfers + Derozer Punk Rock + Slander @ Bay Fest,,Beky Bay,Bellaria Igea Marina (RN),Concerto,F
111,18/08/2016,Ministri @ Frogstock,,,Riolo Terme (RV),Concerto,1
112,20/08/2016,Planet Funk @ Festareggio,,Campovolo,Reggio Emilia,Concerto,1
113,24/08/2016,Wolfmother  @ Festareggio,,Campovolo,Reggio Emilia,Concerto,F
114,01/09/2016, Home Festival,,Ex Dogana,Treviso,Festival,F
115,02/09/2016,Ministri + others @ Home Festival,,Ex Dogana,Treviso,Festival,F
116,03/09/2016,Home Festival,,Ex Dogana,Treviso,Festival,F
117,04/09/2016,Home Festival,,Ex Dogana,Treviso,Festival,F
118,10/09/2016,Bolognetti Overture 2016,,Vicoo Bolognetti,Bologna,Concerto,2
119,11/09/2016,Francesco Motta @ Meeting People Is Easy 8 ,,Campovolo,Reggio Emilia,Festival,F
120,15/09/2016,Le Hen + Prince Rama,,Locomotiv Club,Bologna,Concerto,2
121,17/09/2016,The Who,,Mediolanum Forum,Assago (MI),Concerto,1
122,19/09/2016,Ministri - Cultura generale,,Festa dell'Unità,"Arena sul Lago, Modena",Concerto,
123,23/09/2016,The Winstons,,Locomotiv Club,Bologna,Concerto,1
124,24/09/2016,Musica per Aldrovandi,,,Ferrara,Festival,F
125,8/10/2016,Kratakoa Fest - Day 1,,TPO,Bologna,Festival,F
126,9/10/2016,Kratakoa Fest - Day 2,,TPO,Bologna,Festival,F
127,21/10/2016,I Giardini Di Mirò,,Covo Club,Bologna,Concerto,2
128,22/10/2016,Indie Pride,,TPO,Bologna,Festival,F
129,28/10/2016,The Zen Circus ,,TPO,Bologna,Concerto,1
130,29/10/2016,The Cure,,Unipol Arena,Casalecchio di Reno (BO),Concerto,2
131,31/10/2016,Trash Ribelle - 99° Anniversario,,TPO,Bologna,DJ Set,1
132,4/11/2016,Dub FX,,TPO,Bologna,Concerto,1
133,12/11/2016,The Skakatilies,,Laboratorio Crash,Bologna,Concerto,F
134,18/11/2016,Edo e i Bucanieri + Ex-Otago ,,Covo Club,Bologna,Concerto,2
135,19/11/2016,Exodus + Obituary + King Prog + Parrot,,ZR Music Factory,Bologna,Concerto,F
136,24/11/2016,BaciamoLeMani,,Arteria Club,Bologna,Festival,1
137,27/11/2016,Concerto per il No,,,Roma,Festival,F
138,2/12/2016,"Ministri - ""I soldi sono finiti""",,Magazzini Generali,Milano,Concerto,1
139,3/12/2016,La  rivolta de la tempesta,,CSA Rivolta,Marghera (VE),Festival,F
140,8/12/2016,Digitalism ,,Locomotiv Club,Bologna,Concerto,1
141,12/12/2016,Crystal Castles,,ZR Music Factory,Bologna,Concerto,1
142,16/12/2016,WrongOnYou,,Locomotiv Club,Bologna,Concerto,1
143,17/12/2016,Cosmo,,Locomotiv Club,Bologna,Concerto,1
144,23/12/2016,Francesco Motta,,SMAV,Santa Maria  a Vico (CE),Concerto,1
145,25/12/2016,Cosmo + Funk Rimini,,Lanificio,Napoli,Concerto,1
146,26/12/2016,Maiole,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
147,13/01/2017,POP_X,,Covo Club,Bologna,Concerto,1
148,14/01/2017,L' Officina della Camomilla,,Locomotiv Club, Bologna,Concerto,1
149,20/01/2017,Cold Pumas + Sex Pizzul + Basebal Greg + Vanarin @ Inverno Fest,,Covo Club,Bologna,Festival,4
150,21/01/2017,Francesco Motta,,Locomotiv Club,Bologna,Concerto,1
151,26/01/2017,Canova,,Estragon Club,Bologna,Concerto,1
152,03/02/2017,Giorgieness ,,Covo Club,Bologna,Concerto,1
153,10/02/2017,Alessandro Cortini,,Locomotiv Club,Bologna,Concerto,1
154,16/02/2017,The Bellringers,,Barazzo Live,Bologna,Concerto,1
155,18/02/2017,Garrincha Loves Bologna,,TPO,Bologna,Festival,4
156,19/02/2017,The Zen Circus,,Locomotiv Club,Bologna,Concerto,1
157,25/02/2017,Brunori Sas,,Piazza Ravegnana,Bologna,Presentazione Album,1
158,02/03/2017,Blindur,,Locomotiv Club,Bologna,Concerto,1
159,03/03/2017,Jamese Senese & NapolI Centrale,,Estragon Club,Bologna,Concerto,1
160,04/03/2017,Foja,,Arteria Club,Bologna,Concerto,1
161,08/03/2017,Paolo Benvegnù presenta H3+ @  Art Rock Museum,,Palazzo Pepoli,Bologna,Presentazione Album,1
162,14/03/2017,Baustelle,, Teatro EuropAuditorium,Bologna,Concerto,2
163,15/03/2017,Fast Animals and Slow Kids @  Art Rock Museum,,Palazzo Pepoli,Bologna,Concerto,1
164,16/03/2017,Cosmetic,,Freakout Club,Bologna,Concerto,2
165,17/03/2017,Management del Dolore Post Operatorio,,Covo Club,Bologna,Concerto,2
166,18/03/2017,Afterhours,,Campus Industry,Parma,Concerto,1
167,23/03/2017,Edda,,Locomotiv Club,Bologna,Concerto,1
168,25/3/2017,After Crash + Nathan Fake,,Locomotiv Club,Bologna,Concerto,1
169,29/03/2017,Amon Amarth + Dark Tranquillity,,Estragon Club,Bologna,Concerto,2
170,31/03/2017,Bologna Violenta + Captain Mantell,,Freakout Club,Bologna,Concerto,2
171,01/04/2017,Fast Animals and Slow Kids,,Locomotiv Club,Bologna,Concerto,1
172,06/04/2017,Murubutu,,Giardini Filippo Re, Bologna,Concerto,1
173,08/04/2017,Gazzelle,,Covo Club,Bologna,Concerto,1
174,12/04/2017,Edda presenta Graziosa Utopia @ Art Rock Museum,,Palazzo Pepoli,Bologna,Presentazione Album,1
175,19/04/2017,Giorgio Poi presenta Fa Niente,,Palazzo Pepoli,Bologna,Presentazione Album,1
176,21/04/2017,Le Luci della Centrale Elettrica,,Estragon Club,Bologna,Concerto,1
177,21/04/2017,Fast Animals and Slow Kids + Planet Funk,,Cortile della Pilotta,Parma,Concerto,2
178,05/05/2017,Salmo,,Unipol Arena ,Casalecchio di Reno (BO),Concerto,1
179,06/05/2017,Il Capitan Capitone,,Via San Carlo,Caserta,Concerto,1
180,16/05/2017,KISS + Raven Eye,,Unipol Arena ,Casalecchio di Reno (BO),Concerto,2
181,19/05/2017,Soviet Soviet,,MIkasa Club,Bologna,Concerto,1
182,20/05/2017,Blues,,Ritmo Lento,Bologna,Concerto,1
183,25/05/2017,I Botanici,,Vicolo Bolognetti,Bologna,Concerto,1
184,26/05/2017,Baustelle + Giorgi Poi at Mi Ami Festival,,Circolo Magnolia,Milano,Festival,1
185,27/05/2017,Mi Ami Festival,,Circolo Magnolia,Milano,Festival,1
186,01/06/2017,Cody Chesnutt,,Parco del Cavaticcio,Bologna,Concerto,1
187,06/06/2017,Cristina Donà,,Parco del Cavaticcio,Bologna,Concerto,1
188,06/06/2017,Adriano Viterbini,,Parco del Cavaticcio,Bologna,Concerto,1
189,08/06/2017,Whitney,,Parco del Cavaticcio,Bologna,Concerto,1
190,09/06/2017,Angela Baraldi + Soko,,Parco del Cavaticcio,Bologna,Concerto,1
191,10/06/2017,Guns N Roses,,Autodromo Enzo e Dino Ferrari,Imola,Concerto,3
192,12/06/2017,Enzo Avitabile,,Parco del Cavaticcio,Bologna,Concerto,1
193,13/06/2017,Vapors Of Morphine,,Parco del Cavaticcio,Bologna,Concerto,1
194,14/06/2017,Giorgio Poi,,Parco del Cavaticcio,Bologna,Concerto,1
195,15/06/2017,Francesco Motta,,Parco del Cavaticcio,Bologna,Concerto,1
196,16/06/2017,Radiohead @ I-Days ,,Autodromo Nazionale ,Monza,Festival,5
197,17/06/2017,The Zen Circus,,Parco del Cavaticcio,Bologna,Concerto,1
198,17/06/2017,La Repubblica delle Idee,,Piazza Maggiore,Bologna,Festival,4
199,23/06/2017,Aerosmith + Placebo,,Ippodromo del Visarno,Firenze,Concerto,2
200,24/06/2017,Management del dolore post Operatorio,,Covo Club,Bologna,Concerto,1
201,25/06/2017,System Of A Down + Prophets Of Rage,,Ippodromo del Visarno,Firenze,Concerto,2
202,29/06/2017,Depeche Mode,,Stadio Renato Dall' Ara,Bologna,Concerto,1
203,30/06/2017,Apres La Classe @ Botanique,,Giardini FIlippo Re,Bologna,Concerto,1
204,01/07/2017,Espana Circo Este @ Botanique,,Giardini FIlippo Re,Bologna,Concerto,1
205,07/07/2017,Moplen + Mareina + Cosmetic ,,Vicolo Bolognetti,Bologna,Concerto,2
