#,Data,Evento,,Location,Città,Tipologia,Artista/i
294,10/7/2018,Particle Kid ,,Hana Bi,Marina Di Ravenna,Concerto,1
295,20/7/2018,To Lose La Track - Italian Party,,,Umbertide (PG),Festival,5
296,24/7/2018,Paolo Cevoli e Saxofollia - Rossini Compilation,,Piazza Verdi,Bologna,Concerto,1
297,26/7/2018,Rumba Da Bodas ,,Parco della Montagnola,Bologna,Concerto,1
298,28/7/2018,Jazz Round Midnight ,,Palazo Re Enzo,Bologna,Concerto,1
299,08/08/2018,Kendrick Lamar + Willie Petote @ Sziget Festival,,Island of freedom,Budapest (HU),Festival,1
300,09/08/2018,Unkokwn Mortal Orchestra + Bonobo + Gorillaz Sziget Festival,,,,,1
301,10/08/2018,The Kooks + Parov Stellar + Lana Del Rey Sziget Festival,,,,,1
302,11/08/2018,Bastille + Mumford & Sons + Aurora Sziget Festival,,,,,1
303,12/08/2018,Liam Gallagher + Dua Lipa + King Gizzard & The Lizard Wizard Sziget Festival,,,,,1
304,13/08/2018,Sziget Festival,,,,,1
305,14/08/2018,Arctic Monkeys + Fever Ray Sziget Festival,,,,,1
306,22/08/2018,Eugenio In Via Di Gioia,,Frogstock,Riolo Terme (RA),Concerto,1
307,23/08/2018,The Zen Circus,,Frogstock,Riolo Terme (RA),Concerto,1
308,25/08/2018,Ministri,,Frogstock,Riolo Terme (RA),Concerto,1
309,31/08/2018,Eugenio In Via Di Gioia,,Frogstock,Riolo Terme (RA),Concerto,1
310,07/09/2018,Ministri,,Festareggio,Reggio Emilia ,Concerto,1
311,08/09/2018,Ghemon + Cosmo ,, Ecosuoni, Palma Campania (NA),Concerto,2
312,13/09/2018,Modena Indie Festival,,,Stradello Anesino Nord (MO),Concerto,3
313,13/09/2018,Tutto Molto Bello,,Arena Puccini,Bologna,Festival,1
314,13/09/2018,Krakatoa,,TPO,Bologna,Festival,1
315,13/09/2018,Krakatoa,,TPO,Bologna,Festival,1
316,12/10/2018,Defheaven,,TPO,Bologna,Concerto,1
317,13/10/2018,Balto + Cara Calma,,Mikasa,Bologna,Concerto,2
318,19/10/2018,Nu Guinea,,Locomotiv Club,Bologna,Concerto,1
319,02/11/2018,Club To Club,,Ex Lingotto,Torino,Festival,3
320,03/11/2018,Club To Club,,Ex Lingotto,Torino,Festival,3
321,05/11/2018,Bologna Violenta,,Freakout Club,Bologna,Concerto,2
322,08/11/2018,Dunk!,,Covo Club,Bologna,Concerto,1
323,10/11/2018,Calibro 35 ,,Locomotiv Club,Bologna,Concerto,1
324,14/11/2018,Superorganism ,,Locomotiv Club,Bologna,Concerto,1
325,15/11/2018,Igoor,,Locomotiv Club,Bologna,Concerto,1
326,17/11/2018,Bud Spencer Blues Explosion,,Locomotiv Club,Bologna,Concerto,1
327,20/11/2018,Cragi Brown Band,,Freakout Club,Bologna,Concerto,3
328,21/11/2018,Quercia,,Mikasa,Bologna,Concerto,1
329,23/11/2018,Willie Peyote      ,,Estragon Club,Bologna,Concerto,1
330,24/11/2018,Nothing + Gomma,,Locomotiv Club,Bologna,Concerto,2
331,27/11/2018,MGMT,,Estragon Club,Bologna,Concerto,1
332,29/11/2018,Editors,,Paladozza,Bologna,Concerto,1
333,1/12/2018,Immanuel Casto,,Zona Roveri,Bologna,Concerto,1
334,5/12/2018,Cabrera,,Mikasa,Bologna,Concerto,1
335,11/12/2018,Le Luci della Centrale Elettrica,,Teatro Duse,Bologna,Concerto,1
336,14/01/2019,Uccelli + I Camillas ,,Locomotiv Club,Bologna,Concerto,2
337,19/01/2019,Riccardo Sinigallia ,,Locomotiv Club,Bologna,Concerto,1
338,19/01/2019,La Famiglia ,,Freakout Club,Bologna,Concerto,1
339,02/02/2019,Myss Keta + Cosmo,, Mediolanum Forum,Assago (MI),Concerto,2
340,09/02/2019,Warmduscher,,Covo Club,Bologna,Concerto,4
341,12/02/2019,Subsonica,,Unipol Arena,Casalecchio Di Reno (BO),Concerto,1
342,14/02/2019,I Hate My Village ,,Locomotiv Club,Bologna,Concerto,1
343,15/02/2019,Riviera + Urali ,,Freakout Club,Bologna,Concerto,2
344,16/02/2019,Cloud Nothings + Big Mountains ,,Covo Club,Bologna,Concerto,2
345,20/02/2019,Massimo Volume ,, Teatro Manzoni,Bologna,Concerto,1
346,01/03/2019,Be Forest ,,Covo Club,Bologna,Concerto,1
347,02/03/2019,Giardini di Mirò ,,Locomotiv Club,Bologna,Concerto,1
348,09/03/2019,Felpa + Wild Nothing ,,Covo Club,Bologna,Concerto,2
349,11/03/2019,White Lies + Boniface,,Estragon Club,Bologna,Concerto,2
350,16/03/2019,Salmo  ,,Unipol Arena,Casalecchio di Reno (BO) ,Concerto,1
351,17/03/2019,Florence + The Machine ,,Freakout Club,Bologna,Concerto,1
352,19/03/2019,Nasdat ,,Freakout Club,Bologna,Concerto,1
353,21/03/2019,Edda ,,Locomotiv Club,Bologna,Concerto,1
354,22/03/2019,Xiu Xiu ,,Covo Club,Bologna,Concerto,1
355,23/03/2019,La Rappresentante di Lista ,,Locomotiv Club,Bologna,Concerto,1
356,26/03/2019,Frank Carter and the Rattlesnakes ,,Locomotiv Club,Bologna,Concerto,1
357,28/03/2019,Aaabu + Cara Calma ,,Cortile Cafè,Bologna,Concerto,2
358,29/03/2019,C' Mon Tigre,,Bronson,Ravenna,Concerto,1
359,05/04/2019,Cosmetic ,,Mikasa,Bologna,Concerto,1
360,11/04/2019,Giorgio Poi ,,Locomotiv Club,Bologna,Concerto,1
361,12/04/2019,An Evening with Manuel Agnelli,,Teatro Manzoni,Bologna,Concerto,1
362,13/04/2019,Cut + Giuda ,,Covo Club,Bologna,Concerto,2
363,19/04/2019,To Lose La Track Party ,,Mikasa,Bologna,Concerto,3
364,20/04/2019,Leo Pari e Auroro Borealo + The Shark         ,,Covo Club,Bologna,Concerto,3
365,19/04/2019,Ronin ,,Mikasa,Bologna,Concerto,1
366,26/04/2019,Sick Tamburo + La Discoteca ,,Covo Club,Bologna,Concerto,2
367,27/04/2019,Mono + Arabrot + Jo Quai ,,TPO,Bologna,Concerto,3
368,01/05/2019,Murubutu + Après La Classe ,,Piazza Maggiore,Bologna,Concerto,2
369,04/05/2019,Nu Guinea ,,LINK,Bologna,Concerto,1
370,10/05/2019,Myss Keta ,,Locomotiv Club,Bologna,Concerto,1
371,11/05/2019,Zu + Uochi Toki ,,TPO,Bologna,Concerto,2
372,12/05/2019,"Fast Animals and Slow Kids - Presentazione ""Animali notturni""",,Mondadori,Bologna,Presentazione Album,1
373,15/05/2019,"Kælan Mikla, European Ghost ",,Freakout Club,Bologna,Concerto,2
374,16/05/2019,Benjamine Clementine + Guest ,,Teatro Celebrazioni,Bologna,Concerto,2
375,18/05/2019, (Old Fashioned Boy + Sdang + Animatronic @ YAY Fest,,Mikasa,Bologna,Festival,4
376,19/05/2019,"Urali, Costa Brava, Tacobellas @ YAY Fest ",,Mikasa,Bologna,Festival,3
377,22/05/2019,Mahmood ,,Locomotiv Club,Bologna,Concerto,1
378,23/05/2019,The Messthetics ,,Locomotiv Club,Bologna,Concerto,1
379,24/05/2019,MI AMI Festival | Day 1 ,,Circolo Magnolia,Segrate (MI),Festival,7
380,25/05/2019,MI AMI Festival | Day 2 ,,Circolo Magnolia,Segrate (MI),Festival,5
381,26/05/2019,MI AMI Festival | Day 3 ,,Circolo Magnolia,Segrate (MI),Festival,5
382,27/05/2019,PFM canta De Andrè ,,Teatro Europauditorium ,Bologna,Concerto,1
383,29/05/2019,Motorpsycho ,,Locomotiv Club,Bologna,Concerto,1
384,31/05/2019,Riccardo Sinigallia @ Biografilm ,,Parco del Cavaticcio,Bologna,Concerto,1
385,01/06/2019,Nada @ Biografilm ,,Parco del Cavaticcio,Bologna,Concerto,1
386,02/06/2019,Warm Drag @ No Glucose,,,,Concerto,1
387,03/06/2019,The Winstons @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
388,04/06/2019,Fast Animals and Slow Kids @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
389,05/06/2019,Fulminacci @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
390,09/06/2019,Handamade Festival ,,Tagliata,Guastalla (RE),Festival,8
391,11/06/2019,I Giardini di Mirò @ Biografilm,,Biografilm,Bologna,Concerto,1
392,13/06/2019,Tool + Dream Theater + Smashing Pumpkins @ Firenze Rocks,,Ippodromo del Visarno,Firenze,Concerto,3
393,14/06/2019,Rancore live @ Biografilm ,,Parco del Cavaticcio,Bologna,Concerto,1
394,16/06/2019,Romito + Mòn + Bradipos IV @  La Musica può fare 8,,Piazza Parrocchia,San Nicola La Strada (CE),Festival,3
395,17/06/2019,Alex Britti @ Festa della Madonna di Costantinopoli,,,Cellole (CE),Concerto,1
396,27/06/2019,Slipknot + Amon Amarth + Testament + Lacuna Coil,,Arena Parco Nord/Joe Strummer,Bologna,Festival,4
397,29/06/2019,Elephantides + Be Forest + Dolpo @ Festa del Ringraziamento ,,Circolo Musicale Lato B,Finale Emilia (MO),Festival,5
398,05/07/2019,"Francesco Motta, Murubutu, Giorgio Canali & Rossofuoco @ Otre Festival",,Parco delle Caserme Rosse,Bologna,Concerto,4
399,06/07/2019,Funk Session ,,Piazza Verdi,Bologna,Concerto,1
400,06/07/2019,Jazz Around Midnight ,,Palazzo Re Enzo,Bologna,Concerto,1
401,18/07/2019," I Hate My Village, Rancore, Afterhours @ Bologna Sonic Park",,Arena Parco Nord,Bologna,Concerto,3
402,20/07/2019,Muse ,,Stadio Olimpico,Roma,Concerto,1
403,26/07/2019,Mòn ,,Cortili di Ago,Modena,Concerto,1
404,27/07/2019,Uzeda @ Flame Fest,,Ekidna,Carpi (MO),Concerto,1
405,02/08/2019,Ministri @ Filagosto Festival,,Zona industriale e artigianale ,Bergamo,Concerto,1
406,02/08/2019,Bleech Festival (Venerus + Tropea + Mille Punti + Figùra),,Villa Barattieri,Albarola di Vigolzone (PC),Concerto,4
407,14/08/2019,Dead Kennedys + Offsrping @ Bay Fest,,,Bellaria Igea Marina (RI),Concerto,2
408,24/08/2019,Disorder | Day 3,,,Eboli (SA),Concerto,3
409,25/08/2019,Disorder | Day 4,,,Eboli (SA),Concerto,3
410,30/08/2019,Tre Allegri Ragazzi Morti + La Rappresentante di Lista,,Arena del Lago ,Modena,Concerto,2
411,07/09/2019,Bob Corn + Bee Bee Sea AT No Glucose FESTA ,,Rudere,Bologna,Concerto,3
412,10/09/2019,Fast Animals and Slow Kids UNPLUGGED per Tutto Molto Bello,,Piazza Maggiore,Bologna,Concerto,1
413,13/09/2019,La Rappresentante di Lista @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
414,14/09/2019,Andrea Laszlo De Simone + Bud Spencer Explosion + Colle Der Fomento @ Tutto Molto Bello,,Arena Puccini,Bologna,Festival,3
415,15/09/2019,Jennifer Jentle @ Tutto Molto Bello,,Arena Puccini,Bologna,Festival,1
416,21/09/2019,Io & La Tigre | The Zen Circus @ Villa Inferno,,Bike Bar Cinetico,Montaletto (RA),Concerto,2
417,27/09/2019,Tubax ,,Locomotiv Club,Bologna,Concerto,2
418,03/10/2019,Krakatoa (Preview) ,,TPO,Bologna,Festival,1
419,05/10/2019,Krakatoa (Day 1) ,,TPO,Bologna,Festival,1
420,06/10/2019,Krakatoa (Day 2) ,,TPO,Bologna,Festival,1
421,11/10/2019,Pixies ,,Paladozza,Bologna,Concerto,1
422,16/10/2019,Sleep ,,TPO,Bologna,Concerto,1
423,20/10/2019,Spaghetti Unplugged ,,Cortile Cafè,Bologna,Concerto,1
424,25/10/2019,The Amazons ,,Covo Club,Bologna,Concerto,1
425,26/10/2019,Indie Pride  ,,TPO,Bologna,Concerto,2
426,29/10/2019,Flume ,,Tempodrom,Berlino,Concerto,1
427,30/10/2019,"Circa Waves ""What's It Like Over There? "" Tour",,Musik & Frieden,Berlino,Concerto,1
428,31/10/2019,Tresor ,,Tresor,Berlino,Concerto,1
429,14/11/2019,Deerhunter + Orville Peck ,,TPO,Bologna,Concerto,2
430,19/11/2019,Girless + LAGS @ ,,Freakout Club,Bologna,Concerto,2
431,21/11/2019,Ron Gallo + The Winstons ,,Locomotiv Club,Bologna,Concerto,2
432,23/11/2019,Temples ,,Locomotiv Club,Bologna,Concerto,1
433,30/11/2019,C' Mon Tigre ,,Locomotiv Club,Bologna,Concerto,1
434,06/12/2019,Tre Allegri Ragazzi Morti ,,MONK,Roma,Concerto,3
435,13/12/2019,Massimo Volume ,,Locomotiv Club,Bologna,Concerto,1
436,11/01/2020,Julie's Haircut ,,Locomotiv Club,Bologna,Concerto,1
437,19/01/2020,6000 Sardine ,,Piazza VII Agosto,Bologna,Festival,1
438,31/01/2020,Funk Shui Project & Davide Shorty ,,Locomotiv Club,Bologna,Concerto,1
439,14/02/2020,Calibro 35 ,,Locomotiv Club,Bologna,Concerto,1
440,21/02/2020,Big Thief ,,Locomotiv Club,Bologna,Concerto,1
441,15/06/2020,Giovanni Truppi @ Sunshine Superheros,,Arena Puccini,Bologna,Concerto,1
442,02/07/2020,Calibro 35 @ Sunshine Superheroes,,Arena Puccini,Bologna,Concerto,1
443,03/07/2020,Giancane + Zerocalcare @ Sunshine Superheroes,,Arena Puccini,Bologna,Concerto,1
444,01/08/2020,Cosmetic + Garda 1990 + Malpelo ,, Ekidna , San Martino Scuole (MO),Concerto,1
445,03/09/2020,Francesco Di Bella @ BologninAlive,,Parco Villa Angeletti,Bologna,Concerto,1
446,04/09/2020,Collettivo HMFC Festival @ BologninAlive,,Parco Villa Angeletti,Bologna,Concerto,1
447,06/09/2020,Musica Tra le Nuvole ,, Anfiteatro del Venda, Galzignano Terme (PD),Festival,3
448,11/09/2020,Colapesce Di Martino @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,2
449,12/09/2020,Invisibili ,,Piazza Maggiore,Bologna,Festival,10
450,13/09/2020,"Calibro 35 sonorizzano ""Milano Odia"" @ Tutto Molto Bello",,Arena Puccini,Bologna,Concerto,1
451,16/09/2020,Rodrigo D'Erasmo @ BologninAlive,,Parco di Villa Angeletti,Bologna,Concerto,1
452,17/09/2020,Any Other + Colombre @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
453,18/09/2020,Massimo Volume @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
454,19/09/2020,Lucio Corsi @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
455,20/09/2020,Tre Allegri Ragazzi Morti @ Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
456,04/10/2020,"Fast Animals and Slow Kids presentano ""È già domani""",,Le Scuderie,Bologna,Presentazione Album,1
457,11/10/2020,C' Mon Tigre -  Silence is so freaking 'loud @ DIG Awards,,DIG Awards,Modena,Concerto,1
458,07/05/2021,Ottone Pesante,,Freakout Club,Bologna,Concerto,1
459,28/05/2021,Vipera,,Freakout Club,Bologna,Concerto,1
460,01/06/2021,Espana Circo Este @ BologninAlive,,Parco di Villa Angeletti,Bologna,Concerto,1
461,08/06/2021,Calibro 35 @ Sunshine Superheroes,,Arena Puccini,Bologna,Concerto,1
462,11/06/2021,CUT / The Procrastinators / CHOW - UP WELL!,,Fuori Orsa,Bologna,Concerto,3
463,12/06/2021,Coma_Cose @ Sunshine Superheroes,,Arena Puccini,Bologna,Concerto,1
464,15/06/2021,Gazebo Penguins,,Covo Club,Bologna,Concerto,1
465,22/06/2021,Lo Stato Sociale @ NOVA,,Dumbo,Bologna,Concerto,1
466,29/06/2021,Fatouma Diawara + Afrodelic @ NOVA,,Dumbo,Bologna,Concerto,2
467,01/07/2021,Soviet Soviet + Massimo Volume @ Ferrara Sotto Le Stelle,,Parco Massari Corso Porta Mare,Ferrara,Concerto,2
468,04/07/2021,Ministri @ NOVA,,Dumbo,Bolgna,Concerto,1
469,05/07/2021,Gnut @ Frida Nel Parco,,Parco della Montagnola,Bologna,Concerto,1
470,13/07/2021,The Zen Circus @ Nova,,Dumbo,Bologna,Concerto,1
471,16/07/2021,Tre Allegri Ragazzi Morti @ Nova,,Dumbo,Bologna,Concerto,1
472,18/07/2021,Colapesce Di Martino @ Nova,,Dumbo,Bologna,Concerto,1
473,22/07/2021,Bologna Violenta @ Frida Nel parco,,Parco della Montagnola,Bologna,Concerto,1
474,23/07/2021,Nero di Marte ,,Circolo DEV,Bologna,Concerto,1
475,24/07/2021,Subsonica,,Piazza Martiri,Carpi (MO),Concerto,1
476,25/07/2021,Gazebo Penguins @ Meca Festival,,,Ferrara,Concerto,1
477,01/08/2021,Ministri ,,Arena Lido,Rimini,Concerto,1
478,27/08/2021,Todays Festival,,,Torino,Festival,3
479,28/08/2021,Tuttifenomeni @ Todays Festival,,,Torino,Concerto,1
480,29/08/2021,Todays Festival,,,Torino,Festival,5
481,03/09/2021,Cara Calma + Punkreas ,,Pontelungo,Pontelungo (BO),Concerto,2
482,05/09/2021,Giovanni Truppi,,MAMbo,Bologna,Concerto,1
483,11/09/2021,The Comet is Coming @ Express Festival,,Arena Puccini,Bologna,Concerto,1
484,14/09/2021,Linguamadre - il canzoniere di Pasolini ,,Museo della Musica,Bologna,Concerto,1
485,15/09/2021,La Rappresentante di Lista ,,Arena Puccini,Bologna,Concerto,1
486,20/09/2021,The Notwist,,Arena Puccini,Bologna,Concerto,1
487,18/09/2021,Fast Animals and Slow Kids,,Kinotto,Bologna,Presentazione Album,1
488,25/09/2021,Gomma,,Covo Club,Bologna,Concerto,1
489,01/10/2021,Assalti Frontali,,Ex Centrale,Bologna,Concerto,1
490,15/10/2021,Adriano Viterbini,,Locomotiv Club,Bologna,Concerto,1
491,24/10/2021,Leatherette / Votto,,Circolo DEV,Bologna,Concerto,2
492,30/10/2021,Kings Of Convenience,,Teatro Manzoni,Bologna,Concerto,1
493,02/11/2021,Eugenio DI Via Gioia,,Estragon Club,Bologna,Concerto,1
494,05/11/2021,Hoverlogic + Manitoba,,Locomotiv Club,Bologna,Concerto,2
495,07/11/2021,Emma Nolde & Generic Animal,,Locomotiv Club,Bologna,Concerto,2
496,13/11/2021,Fine Before You Came,,Locomotiv Club,Bologna,Concerto,2
497,14/11/2021,Oltre Il Ponte,,Bolognina,Bologna,Concerto,1
498,17/11/2021,Marco Giudici,,Cortile Cafè,Bologna,Concerto,1
499,26/11/2021,Techno,,Ex Centrale,Bologna,Concerto,1
500,27/11/2021,The Black Veils + Felpa,,Covo Club,Bologna,Concerto,1
501,28/11/2021,Viagra Boys,,LINK,Bologna,Concerto,1
502,03/12/2021,Tenebra / Eye Of The Golem,,Circolo DEV,Bologna,Concerto,2
503,04/03/2022,"Lo Stato Sociale with Max Collini, Niccolò Carnesi",,Teatro Antoniano,Bologna,Concerto,1
504,05/03/2022,Elio canta e recita Enzo Jannacci,,Teatro Duse,Bologna,Concerto,1
505,24/03/2022,Bachi da Pietra,,Locomotiv Club,Bologna,Concerto,1
506,25/03/2022,Giancane,,Locomotiv Club,Bologna,Concerto,1
507,05/04/2022,Iosonouncane esegue IRA,,Teatro Duse,Bologna,Concerto,1
508,09/04/2022,24 Grana,,TPO,Bologna,Concerto,1
509,15/04/2022,La prima Festa dell' Amore,,Arena Parco Nord,Bologna,Festival,3
510,18/04/2022,La prima Festa dell' Amore,,Arena Parco Nord,Bologna,Festival,3
511,24/04/2022,Ministri,,Estragon Club,Bologna,Concerto,1
512,27/04/2022,I Botanici,,Cortile Cafè,Bologna,Concerto,1
513,28/04/2022,Tenebra + Chow,,Circolo Dev,Bologna,Concerto,2
514,25/05/2022,Leatherette,,Combo,Bologna,Concerto,2
515,27/05/2022,Mi Ami Festival - Day 1 ,,Circolo Magnolia,Milano,Festival,5
516,28/05/2022,Mi Ami Festival - Day 2,,Circolo Magnolia,Milano,Festival,5
517,29/05/2022,Mi Ami Festival - Day 3,,Circolo Magnolia,Milano,Festival,5
518,02/06/2022,Primavera Sound,,Parc del Forum,Barcellona,Festival,5
519,03/06/2022,Primavera Sound ,,Parc del Forum,,Festival,5
520,04/06/2022,Primavera Sound ,,Parc del Forum,,Festival,5
521,05/06/2022,Primavera Sound - La Ciutat,,Razzmatazz,,Concerto,5
522,16/06/2022,Nu Genea live band / Seun Kuti & EGYPT 80,,DumBO,Bologna,Concerto,5
523,21/06/2022,Deftones,,Ex Caserme Rosse,Bologna,Concerto,2
524,18/06/2022,Margherita Vicario,,Dumbo,Bologna,Concerto,2
525,22/06/2022,Bandabardò & Cisco,,Giardini Filippo Re,Bologna,Concerto,2
526,23/06/2022,Chet Faker,,Ex Caserme Rosse,Bologna,Concerto,2
527,01/07/2022,Fulminacci,,Ex Caserme Rosse,Bologna,Concerto,3
528,07/07/2022,Airbourne + Lord of the lost,,Arena Parco Nord / Joe Strummer,Bologna,Concerto,
529,08/07/2022,Porridge Radio + Nothing @ Arti Vive,,,Soliera (MO),Concerto,
530,09/07/2022,Yves Tumor @ Arti Vive,,,Soliera (MO),Concerto,
531,22/07/2022,Caparezza,,Piazza Trento Trieste,Ferrara,Concerto,1
532,29/07/2022,Grupo Compay Segundo ,,Piazza Lucio Dalla,Bologna,Concerto,1
533,30/07/2022,C' Mon Tigre	,,Parco Marco Coletta,Ferrara,Concerto,1
534,03/08/2022,Vieri Cervelli Montel,,Parco della Montagnola,Bologna,Concerto,1
535,01/10/2022,Tutto Molto Bello,,Arena Puccini,Bologna,Concerto,1
536,05/10/2022,Scratch Party | Azione sperimentale di musica e immagini,,"Accademia, delle belle Arti",Bologna,Concerto,1
537,06/10/2022,Robot Festival 22 | Day 1,,Palazzo Re Enzo,Bologna,Concerto,1
538,16/09/2022,Spring Attitude,,Cinecittà,Roma,Concerto,1
539,17/09/2022,Calibro 35 @ Spring Attitude,,Cinecittà,Roma,Concerto,1
540,25/08/2022, Roberto Dell'Era,,Montagnola,Bologna,Concerto,1
541,30/09/2022,Iosonouncane,,Locomotiv Club,Bologna,Concerto,1
542,14/10/2022,Ninos Du Brasil,,Locomotiv Club,Bologna,Concerto,1
543,15/10/2022,Marracash,,Unipol Arena,Casalecchio di Reno (BO) ,Concerto,1
544,20/10/2022,Edda,,Locomotiv Club,Bologna,Concerto,1
545,21/10/2022,Death Bells ,,Covo Club,Bologna,Concerto,1
546,29/10/2022,Leatherette,,Covo Club,Bologna,Concerto,1
547,02/11/2022,Verdena ,,Estragon Club,Bologna,Concerto,1
548,03/11/2022,Cinzia Zaccaroni,,Cortile Cafè,Bologna,Concerto,1
549,04/11/2022,The Lounge Society + Big Mountain County,,Covo Club,Bologna,Concerto,1
550,16/11/2022,Altin Gun,,Locomotiv Club,Bologna,Concerto,1
551,18/11/2022,Emma Nolde,,Locomotiv Club,Bologna,Concerto,1
552,28/11/2022,Verdena,,Teatro Palapartenope,Napoli,Concerto,1
553,03/12/2022,Bradipos IV,,Mr Rolly's,Vitulazio,Concerto,1
554,06/12/2022,The Zen Circus,,Teatro Duse,Bologna,Concerto,1
555,08/12/2022,Gazebo Penguins,,Locomotiv Club,Bologna,Concerto,1
556,09/12/2022,Mauskovic Dance Band,,Locomotiv Club,Bologna,Concerto,1
557,10/12/2022,Volumella ,,Freakout Club,Bologna,Concerto,1
558,16/12/2022,Sick Tamburo,,Mercato Sonato,Bologna,Concerto,1
559,17/12/2022,Ministri,,Vox Club,Nonantola (MO),Concerto,1
560,18/12/2022,Mediterranea Swap Party,,Binario69,Bologna,Concerto,3
561,13/01/2023,Whitemary,,Locomotiv Club,Bologna,Concerto,1
562,14/01/2023,Gazebo Penguins,,"Off, Modena",Modena,Concerto,1
563,19/01/2023,Torso Virile Colossale,,Efesto,Bologna,Concerto,1
564,16/02/2023,Concerto per Bologna | 4 Stagioni,, Comunale Nouveau,Bologna,Concerto,1
565,18/02/2023,Tash LC Lappa ArkTah,,TPO,Bologna,Festival,3
566,03/03/2023,"Kalaima | Orefice, Puglisi, D'Orlando ",,Sghetto Club,Bologna,Concerto,1
567,08/03/2023,Dardust,,Teatro Celebrazioni,Bologna,Concerto,1
568,10/03/2023,NoBraino,,Estragon Club,Bologna,Concerto,1
569,11/03/2023,2ManyDJS,,Dumbo,Bologna,Concerto,1
570,16/03/2023,Nu Genea,,Estragon Club,Bologna,Concerto,1
571,17/03/2023,Bassi Maestro,,Sottotetto,Bologna,Concerto,1
572,01/04/2023,Italia 90,,Covo Club,Bologna,Concerto,2
573,04/04/2023,Tropea,,Locomotiv Club,Bologna,Concerto,1
574,11/04/2023,Immanuel Casto & Romina Falconi,,Teatro Duse,Bologna,Concerto,1
575,13/04/2023,Calibro 35,,Locomotiv Club,Bologna,Concerto,1
576,21/04/2023,Roger Waters,,Unipol Arena,Casalecchio di Reno (BO) ,Concerto,1
577,02/05/2023,Joe Satriani,,Teatro EuropAuditorium,Bologna,Concerto,1
578,12/05/2023,Marlene Kuntz,,Dumbo,Bologna,Concerto,1
579,26/05/2023,Le luci della centrale elettrica,,TPO,Bologna,Concerto,1
580,31/05/2023,Chow,,Fuori Orsa,Bologna,Concerto,1
581,02/06/2023,Kokoroko + Fusai Fusa @ Express Festival,,Arena Puccini,Bologna,Concerto,1
582,05/06/2023,Molchat Doma @ DLF Diretto Live Festival,,Arena Puccini,Bologna,Concerto,1
583,08/06/2023,Unsane @ Fermento In Villa,,Parco di Villa Angeletti,Bologna,Concerto,1
584,10/06/2023,Diodato @ La Repubblica delle Idee,,Piazza Maggiore,Bologna,Concerto,1
585,22/06/2023,Sick Tamburo @ Botanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
586,24/06/2023,Verdena + MEG @ Sequoie Music Park	,,Caserme Rosse,Bologna,Festival,2
587,25/06/2023,Slipknot | Architects | Amon Amarth @ Knotfest,,Arena Parco Nord / Joe Strummer,Bologna,Festival,5
588,02/07/2023,Pantera + Kreator + Elegant Weapons,,Arena Parco Nord / Joe Strummer,Bologna,Festival,3
589,12/07/2023,Iron Maiden ,,Ziggo Dome,Amsterdam,Concerto,1
590,13/07/2023,Idles + The Murder Capital @ Beky Bay,,Bellaria Igea Marina,Bellaria Igea Marina,Festival,2
591,14/07/2023,Nada @ BOtanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
592,16/07/2023,Articolo 31 @ Sequoie Music Park,,Caserme Rosse,Bologna,Concerto,1
593,16/07/2023,Galeffi @ Sequoie Music Park,,Caserme Rosse,Bologna,Concerto,1
594,18/07/2023,Jamese Senese & Napoli Centrale ,,Cubo Unipol,Bologna,Concerto,1
595,21/07/2023,Brusco @ Botanique Festival,,Giardini Filippo Re,Bologna,Concerto,1
596,22/07/2023,Blur @ Lucca Summer Festival,,Mura Storiche,Lucca,Concerto,1
597,23/07/2023,Colle Der Fomento + INOKI @ Bonsai Garden,,Caserme Rosse,Bologna,Concerto,2
598,27/07/2023,Giovanni Truppi ,,Cubo Unipol,Bologna,Concerto,1
599,10/08/2023,Ypsirock,,,"Castelbuono, Palermo",Festival,10
600,02/09/2023,Cut +Flyin'zebras @ Frida nel Parco,,Parco della Montagnola,Bologna,Concerto,2
601,08/09/2023,Marnero con Matteo Bennici,,Freakout Club,Bologna,Concerto,1
602,09/09/2023,Maple Death Death Fest @ Frida nel Parco,,Parco della Montagnola,Bologna,Festival,3
603,17/09/2023,Liberato + Thru Collected,,Piazza Plebiscito,Napoli,Concerto,2
604,21/09/2023,MEGA NON MI PIACE: 66cl,,Freakout Club,Bologna,Concerto,1
605,30/09/2023,Tense Up + Jaguero + Labradors ,,Circolo Dev,Bologna,Concerto,3
606,07/10/2023,Redbull Bar 64,,"Scampia, Napoli",Bologna,Festival,4
607,14/10/2023,DJ Shocca - Sacrosanto tour,,Locomotiv Club,Bologna,Concerto,1
608,27/10/2023,Gazebo Penguins ,,Covo Club,Bologna,Concerto,1
609,28/10/2023,Tenebra + Bottomless  ,,Freakout Club,Bologna,Concerto,1
