Concerti 2019,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
#,Data,Evento,,Tipologia,Artista/i,,#,Data,Evento,,Tipologia,Artista/i,,,,,,,,Concerti,85,,,
53,04/06/2019,Fast Animals and Slow Kids @ Biografilm,,Concerto,1,,,,,,,,,,,,,,,,,,,
54,05/06/2019,Fulminacci @ Biografilm,,Concerto,1,,,,,,,,,,,,,,,,,,,
55,09/06/2019,Handamade Festival @ Guastalla (RE),,Festival,8,,,,,,,,,,,,,,,,,,,
56,11/06/2019,I Giardini di Mirò @ Biografilm,,Concerto,1,,,,,,,,,,,,,,,,,,,
57,13/06/2019,Tool + Dream Theater + Smashing Pumpkins @ Firenze Rocks,,Concerto,3,,,,,,,,,,,,,,,,,,,
58,14/06/2019,Rancore live @ Biografilm Park,,Concerto,1,,,,,,,,,,,,,,,,,,,
59,16/06/2019,"Festival ""La Musica può fare 8""",,Festival,3,,,,,,,,,,,,,,,,,,,
60,17/06/2019,Alex Britti @ Cellole,,Concerto,1,,,,,,,,,,,,,,,,,,,
61,27/06/2019,Slipknot + Amon Amarth + Testament + Lacuna Coil @ Bologna,,Festival,4,,,,,,,,,,,,,,,,,,,
62,29/06/2019,Elephantides + Be Forest + Dolpo @ Festa del Ringraziamento ,,Festival,5,,Elephantides + Dolpo + Arto + Be Forest + Giardini di Mirò,,,,,,,,,,,,,,,,,
63,05/07/2019,"Motta, Murubutu, Giorgio Canali & Rossofuoco @ Otre Festival",,Concerto,4,,,,,,,,,,,,,,,,,,,
64,06/07/2019,Funk Session @ Piazza Verdi,,Concerto,1,,,,,,,,,,,,,,,,,,,
65,06/07/2019,Jazz Around Midnight @ Palazzo Re Enzo,,Concerto,1,,,,,,,,,,,,,,,,,,,
66,18/07/2019," I Hate My Village, Rancore, Afterhours @ Bologna Sonic Park",,Concerto,3,,,,,,,,,,,,,,,,,,,
67,20/07/2019,"Muse @ Stadio Olimpico, Roma",,Concerto,1,,,,,,,,,,,,,,,,,,,
68,26/07/2019,"Mòn @ Cortili di Ago, Modena",,Concerto,1,,,,,,,,,,,,,,,,,,,
69,27/07/2019,Uzeda @ Ekidna | Flame Fest,,Concerto,1,,,,,,,,,,,,,,,,,,,
70,02/08/2019,"Ministri @ Filagosto Festival, Brescia",,Concerto,1,,,,,,,,,,,,,,,,,,,
71,02/08/2019,Bleech Festival @ Piacenza,,Concerto,1,,,,,,,,,,,,,,,,,,,
72,14/08/2019,Dead Kennedys + Offsrping @ Bay Fest,,Concerto,2,,,,,,,,,,,,,,,,,,,
73,24/08/2019,Disorder | Day 3,,Concerto,3,,,,,,,,,,,,,,,,,,,
74,25/08/2019,Disorder | Day 4,,Concerto,3,,,,,,,,,,,,,,,,,,,
75,30/08/2019,Tre Allegri Ragazzi Morti + La Rappresentante di Lista,,Concerto,2,,,,,,,,,,,,,,,,,,,
76,07/09/2019,No Glucose FESTA @ Rudere,,Concerto,3,,,,,,,,,,,,,,,,,,,
77,10/09/2019,Fast Animals and Slow Kids UNPLUGGED,,Concerto,1,,,,,,,,,,,,,,,,,,,
78,13/09/2019,La Rappresentante di Lista @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
79,14/09/2019,Andrea Laszlo + Bud Spencer Explosion + Colle Der Fomento,,Festival,3,,,,,,,,,,,,,,,,,,,
80,15/09/2019,Jennifer Jentle @ Tutto Molto Bello,,Festival,1,,,,,,,,,,,,,,,,,,,
81,21/09/2019,Io & La Tigre | Zen Circus @ Villa Inferno,,Concerto,2,,,,,,,,,,,,,,,,,,,
82,27/09/2019,Tubax @ Locomotiv,,Concerto,2,,,,,,,,,,,,,,,,,,,
83,03/10/2019,Krakatoa (Preview) @ TPO,,Festival,1,,,,,,,,,,,,,,,,,,,
84,05/10/2019,Krakatoa (Day 1) @ TPO,,Festival,1,,,,,,,,,,,,,,,,,,,
85,06/10/2019,Krakatoa (Day 2) @ TPO,,Festival,1,,,,,,,,,,,,,,,,,,,
86,11/10/2019,Pixies @ Paladozza,,Concerto,1,,,,,,,,,,,,,,,,,,,
87,16/10/2019,Sleep @ TPO,,Concerto,1,,,,,,,,,,,,,,,,,,,
88,20/10/2019,Spaghetti Unplugged @ Cortile Cafè,,Concerto,1,,,,,,,,,,,,,,,,,,,
89,25/10/2019,The Amazons @ Covo Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
90,26/10/2019,Indie Pride @ TPO,,Concerto,2,,,,,,,,,,,,,,,,,,,
91,29/10/2019,Flume @ Berlino,,Concerto,1,,,,,,,,,,,,,,,,,,,
92,30/10/2019,Circa Waves @ Berlino,,Concerto,1,,,,,,,,,,,,,,,,,,,
93,31/10/2019,Tresor @ Berlino,,Concerto,1,,,,,,,,,,,,,,,,,,,
94,14/11/2019,Deerhunter + Orville Peck @ TPO,,Concerto,2,,,,,,,,,,,,,,,,,,,
95,19/11/2019,Girless + LAGS @ Freakout Club,,Concerto,2,,,,,,,,,,,,,,,,,,,
96,21/11/2019,Ron Gallo + The Winstons @ Locomotiv ,,Concerto,2,,,,,,,,,,,,,,,,,,,
97,23/11/2019,Temples @ Locomotiv,,Concerto,1,,,,,,,,,,,,,,,,,,,
98,30/11/2019,C' Mon Tigre @ Locomotiv,,Concerto,1,,,,,,,,,,,,,,,,,,,
99,06/12/2019,Tre Allegri Ragazzi Morti @ Monk Roma,,Concerto,3,,,,,,,,,,,,,,,,,,,
100,13/12/2019,Massimo Volume @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
