#,Data,Evento,,Location,Città,Tipologia,Artista/i,Costo,,Concerti,83
46,13/07/2024,"Napoli Segreta @ Montagnola Republic
",,Montagnola,Bologna,Concerto,1,"€ 0,00",,,
47,17/07/2024,King Hannah @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
48,19/07/2024,Sandro Joyeux @ Di Mondi Festival ,,Piazza Lucio Dalla,Bologna,Concerto,1,"€ 0,00",,,
49,20/07/2024,A Toys Orchestra @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
50,22/07/2024,Valerio Lundini e i Vazzanikki @ Bonsai Garden,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 25,00",,,
51,23/07/2024,The Headhunters ,,Cubo Unipol,Bologna,Concerto,1,"€ 0,00",,,
52,26/07/2024,Mefisto Brass @ Di Mondi Festival,,Piazza Lucio Dalla,Bologna,Concerto,1,"€ 0,00",,,
53,27/07/2024,Italian Party,,Umbertide,Montone (PG),Festival,5,"€ 0,00",,,
54,03/08/2024,Inoki with Kolosso Band @ La Festa di San Lazzaro,,,San Lazzaro di Savena (BO),Concerto,1,"€ 0,00",,,
55,23/08/2024,DJ Shocca & Frank Siciliano @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1,"€ 0,00",,,
56,24/08/2024,Rumba Da Bodas @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1,"€ 0,00",,,
57,30/08/2024,Shandon @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1,"€ 0,00",,,
58,31/08/2024,Sick Tamburo @ Sun Donato Festival,,Giardini Parker Lennon,Bologna,Concerto,1,"€ 0,00",,,
59,01/09/2024,Andrea Pifferi @ Notte Bianca in Montagnola,,Parco della Montagnola,Bologna,Concerto,1,"€ 0,00",,,
60,04/09/2024,Ginevra di Marco @ Di Mondi Festival,,Piazza Lucio Dalla,Bologna,Concerto,1,"€ 0,00",,,
61,06/09/2024,Colapesce Di Martino at Imola in musica,,Piazza Matteotti,Imola,Concerto,1,"€ 0,00",,,
62,07/09/2024,Nabat,,Locomotiv Club,Bologna,Concerto,1,"€ 10,64",,,
63,12/09/2024,"Fabio Celenza ""Faffiga experience""",,Locomotiv Club,Bologna,Concerto,1,"€ 15,00",,,
