#,Data,Evento,Location,Città,Tipologia,Artista/i
82,12/11/2025,High Vis + The Garden + Turnstile,Alcatraz,Milano,Concerto,3
83,14/11/2025,NON MI PIACE: La rivoluzione industriale e le sue conseguenze + Chiaroscuro + Submeet,Freakout Club,Bologna,Concerto,3
84,15/11/2025,Circus Punk + Ministri Aurora popolare,Estragon Club,Bologna,Concerto,2
85,18/11/2025,Marie Davidson,Locomotiv Club,Bologna,Concerto,1
86,20/11/2025,Jacopo De Leo,Centro Sociale della Pace,Bologna,Concerto,1
87,22/11/2025,Kolosso,Filla Auditorium,Bologna,Concerto,1
88,22/11/2025,Kokoon,Efesto House,Bologna,Concerto,1
89,23/11/2025,Phill Reynolds + Cani Dei Portici,Freakout Club,Bologna,Concerto,2
90,01/12/2025,EKKSTACY,Locomotiv Club,Bologna,Concerto,1
91,04/12/2025,Dadà,Locomotiv Club,Bologna,Concerto,1
92,06/12/2025,Despite of Exile + Fulci,Locomotiv Club,Bologna,Concerto,2
93,10/12/2025,ExMen + Cani,Casa della Musica,Napoli,Concerto,2
94,12/12/2025,Il Mago del Gelato,TPO,Bologna,Concerto,1
95,19/12/2025,Emma Grace,Baumhaus,Bologna,Concerto,2
