,,,Concerti 2017,,,,,

#,Data,Evento,,Tipologia,Artista/i,,Concerti,77
46,10/06/2017,Guns N Roses,,Concerto,3,,,
47,12/06/2017,Enzo Avitabile,,Concerto,1,,,
48,13/06/2017,Vapors Of Morphine,,Concerto,1,,,
49,14/06/2017,Giorgio Poi,,Concerto,1,,,
50,15/06/2017,Motta,,Concerto,1,,,
51,16/06/2017,Radiohead,,Festival,5,,,
52,17/06/2017,Zen Circus,,Concerto,1,,,
53,17/06/2017,La Repubblica delle Idee,,Festival,4,,,
54,23/06/2017,Aerosmith + Placebo,,Concerto,2,,,
55,24/06/2017,Management del dolore post Operatorio,,Concerto,1,,,
56,25/06/2017,System Of A Down + Prophets Of Rage,,Concerto,2,,,
57,29/06/2017,Depeche Mode,,Concerto,1,,,
58,30/06/2017,Apres La Classe,,Concerto,1,,,
59,01/07/2017,Espana Circo Este,,Concerto,1,,,
60,07/07/2017,Moplen + Mareina + Cosmetic ,,Concerto,2,,,
61,08/07/2017,Gazzelle,,Concerto,1,,,
62,12/07/2017,Selton,,Concerto,1,,,
63,15/07/2017,U2,,Concerto,1,,,
64,18/07/2017,Akexander Romanovsky,,Concerto,1,,,
65,19/07/2017,Carl Brave X Franco 126,,Concerto,1,,,
66,20/07/2017,Angelo Branduardi,,Concerto,1,,,
67,08/08/2017,Sziget,,Festival,30,,,
68,31/08/2017,Home Festival,,Festival,10,,,
69,31/08/2017,Max Gazzè & Carmen Consoli,,Concerto,1,,,
70,01/09/2017,Iosonouncane,,Concerto,1,,,
73,02/09/2017,Colombre + Altre di B ,,Concerto,2,,,
74,03/09/2017,Coez ,,Concerto,1,,,
75,12/09/2017,Funky Jam,,Concerto,1,,,
76,19/09/2017,Blues Jam,,Concerto,1,,,
77,23/09/2017,Zucchero,,Concerto,1,,,
78,30/09/2017,His Clancyness + Dead Horses,,Concerto,2,,,
79,08/07/2017,Kratakoa,,Concerto,4,,,
80,27/10/2017,Tycho,,Concerto,2,,,
81,28/10/2017,Indie Pride,,Concerto,5,,,
82,4/11/2017,Queens Of The Stone Age,,Concerto,1,,,
83,8/11/2017,W.A.S.P.,,Concerto,2,,,
84,11/11/2017,Gazebo Penguins,,Concerto,1,,,
85,25/11/2017,Caparezza,,Concerto,1,,,
86,30/11/2017,Testament + Annhilator,,Concerto,2,,,
87,2/12/2017,Tubax + PoiL,,Concerto,2,,,
88,15/12/2017,Mando Diao,,Concerto,2,,,
89,16/12/2017,Willie Peyote,,Concerto,1,,,
90,19/12/2017,Elio e Le Storie Tese,,Concerto,1,,,
91,22/12/2017,Simone Cristicchi,,Concerto,1,,,
92,23/12/2017,Bradipos IV,,Concerto,1,,,
93,25/12/2017,Coma_Cose,,Concerto,1,,,
94,26/12/2017,Vittorio Piano Terra,,Concerto,1,,,
95,27/12/2017,Espana Circo Este,,Concerto,1,,,
96,29/12/2017,Joe Victor,,Concerto,1,,,
96,30/12/2017,Mòn / open act Löve ,,Concerto,2,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
