Concerti 2024,,,,,,,,,,,
#,Data,Evento,,Location,Città,Tipologia,Artista/i,Costo,Concerti,,76
1,11/01/2025,Urali + Arianna Pasini ,,Covo Club,Bologna,Concerto,2,"€ 12,00",Festival,,15
2,17/01/2025,Whitemary @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1,"€ 35,00",Presentazione CD,,0
3,18/01/2025,Vintage Violence @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1,"€ 0,00",DJ Set,,0
4,23/01/2025,I Hate My Village @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1,"€ 20,00","€ 1.459,69",,91
5,24/01/2025,Struzzi Decenti #15: Tiger! Shit! Tiger! Tiger! + Milo @ FreakOut Club,,FreakOut Club,Bologna,Concerto,3,"€ 5,00",,,
6,25/01/2025,Softcore,,Locomotiv Club,Bologna,DJ Set,1,"€ 8,00",,,
8,06/02/2025,Tostoi + Post Nebbia @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,2,"€ 20,00",,,
9,12/02/2025,Pantera @ Unipol Arena,,Unipol Arena,Bologna,Concerto,1,"€ 60,00",,,
10,13/02/2025,Mob Deep @ Locomotiv Club,,Locomotiv Club,Bologna,Concerto,1,"€ 25,00",,,
11,22/02/2025,Konoha - HC NIGHT @ Circolo HEX,,Circolo Hex,Bologna,Concerto,1,"€ 5,00",,,
12,23/02/2025,Leatherette @ Freakout Club,,Freakout Club,Bologna,Concerto,1,"€ 10,00",,,
13,26/02/2025,Il Teatro degli Orrori @ Estragon Club,,Estragon Club,Bologna,Concerto,1,"€ 35,00",,,
14,03/03/2025,Chris Eckman + TRAUM @ FreakOut Club,,Freakout Club,Bologna,Concerto,2,"€ 6,00",,,
15,08/03/2025,Offlaga Disco Pax,,Locomotiv Club,Bologna,Concerto,1,"€ 25,00",,,
16,15/03/2025,Folkabbestia @ Irlanda in Festa,,Piazza Lucio Dalla,Bologna,Concerto,1,"€ 0,00",,,
17,22/03/2025,Chiaroscuro + Cosmetic,,Covo Club,Bologna ,Concerto,2,"€ 12,00",,,
18,29/03/2025,Limp Bizkit + Karen Dió + N8noface + Ecca Vandal + Bones @ LOSERVILLE 2025,,Unipol Arena,Casalecchio Di Reno,Festival,5,"€ 92,00",,,
19,31/03/2025,Lenny Kravitz,,Unipol Arena,Casalecchio Di Reno,Concerto,1,"€ 150,00",,,
20,04/04/2025,Iosonouncane,,Locomotiv Club,Bologna,Concerto,1,"€ 20,00",,,
21,06/04/2025,Meg 30,,Locomotiv Club,Bologna,Concerto,1,"€ 0,00",,,
22,11/04/2025,IL Mago del Gelato,,Covo Club,Bologna,Concerto,1,"€ 32,00",,,
23,12/04/2025,Katana Koala Kiwi + C+C Maxigros,,Covo Club,Bologna,Concerto,2,"€ 0,00",,,
24,13/04/2025,P38,,Ex Bocciofila,Bologna,Concerto,1,"€ 17,00",,,
25,14/04/2025,Trip + Bebawinigi,,Freakout Club,Bologna,Concerto,1,"€ 5,00",,,
26,01/05/2025,Samuel + Poche Spanne @ Concerto del Primo Maggio,,Piazza Maggiore,Bologna,Festival,3,"€ 0,00",,,
27,02/05/2025,Splatterpink @ Frida nel parco,,Parco della Montagnola,Bologna,Concerto,1,"€ 0,00",,,
28,03/05/2025,WEL + Puncake,,Covo Club,Bologna,Concerto,1,"€ 40,00",,,
29,10/05/2025,Motorpsycho,,Vidia Club,Cesena,Concerto,1,"€ 40,00",,,
30,16/05/2025,Valentino Vivace + Dov' è Liana + Fenoaltea @ Gemini Festival,,Dumbo ,Bologna,Festival,3,"€ 0,00",,,
31,17/05/2025,Maseeni + Danielle,,Covo Club,Bologna,Concerto,2,"€ 35,00",,,
32,23/05/2025,Messa + Fulci  I Patagarri + Noyz Narcos + Fuckyourclique @ Mi Ami Festival,,Idroscalo,Milano,Concerto,5,"€ 18,00",,,
33,24/05/2025,Fitness Forever + Il mago del gelato + Shablo + Ofllaga Disco Pax + Teatro degli orrori + Studio Murena @ Mi Ami Festival,,Idroscalo,Milano,Concerto,6,,,,
34,30/05/2025,66 cl + Riviera ,,CSOA Spartaco,Ravenna,Concerto,3,"€ 5,00",,,
35,16/06/2025,Fontaines D.C. DJ Set @ Montagnola Republica,,Parco della Montagnola,Bologna,DJ Set,1,"€ 0,00",,,
36,17/06/2025,Fontaines D.C. + Shame @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,2,"€ 0,00",,,
37,18/06/2025,The KVB @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1,"€ 8,00",,,
38,19/06/2025,Cesare Cremonini,,Stadio Dall'Ara,Bologna,Concerto,1,"€ 82,00",,,
39,21/06/2025,99 Posse @ Botanique ,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
40,24/06/2025,Jimmy Eat World + Spiritbox + Linkin Park,,Ippodromo SNAI,Milano,Concerto,3,"€ 123,00",,,
41,26/06/2025,Afterhours ,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 50,00",,,
42,01/07/2025,Paolo Baldini @ Botanique ,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
43,02/07/2025,Karate,,Hana Bi,Marina di Ravenna,Concerto,1,"€ 0,00",,,
44,04/07/2025,La Niña,,Dumbo ,Bologna,Concerto,1,"€ 0,00",,,
45,05/07/2025,Giancane,,Giardini FIlippo Re,Bologna,Concerto,1,"€ 0,00",,,
46,06/07/2025,Jorja Smith @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 22,50",,,
47,07/07/2025,Girlg Gang DJ Set,,Cavaticcio,Bologna,Concerto,1,"€ 0,00",,,
48,08/07/2025,Alice Cooper @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 0,00",,,
49,09/07/2025,Skunk Anansie @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 106,94",,,
50,10/07/2025,Fabri Fibra @ Sequoie Music Park,,Parco delle Caserme Rosse,Bologna,Concerto,1,"€ 45,00",,,
51,17/07/2025,YĪN YĪN @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
52,18/07/2025,Post Nebbia @ Botanique,,Giardini Filippo Re,Bologna,Concerto,1,"€ 0,00",,,
53,25/07/2025,Die Abete + Liquami + Milo  @ Italian Party,,Piattaforma,Umbertide (PG),Festival,3,"€ 0,00",,,
54,26/07/2025,Gazebo Penguins + Asino @ Italian Party,,Piattaforma,Umbertide (PG),Festival,3,"€ 0,00",,,
