#,Data,Evento,,Luogo,Tipologia,Artista/i,Costo,,Concerti,50
1,04/03/2022,"Lo Stato Sociale with Max Collini, Niccolò Carnesi",,Teatro Antoniano,Concerto,1,,,Festival,8
2,05/03/2022,Elio canta e recita Enzo Jannacci,,"Teatro Duse, Bologna",Concerto,1,,,,
3,24/03/2022,Bachi da Pietra,,Locomotiv,Concerto,1,,,Presentazione CD,0
4,25/03/2022,Giancane,,Locomotiv,Concerto,1,,,,
5,05/04/2022,Iosonouncane esegue IRA,,"Teatro Duse, Bologna",Concerto,1,,,DJ Set,0
6,09/04/2022,24 Grana,,TPO,Concerto,1,,,,
7,15/04/2022,La prima Festa dell' Amore,,Arena Parco Nord,Festival,3,,,Totale live,58
8,18/04/2022,La prima Festa dell' Amore,,Arena Parco Nord,Festival,3,,,,
9,24/04/2022,Ministri,,Estragon,Concerto,1,,,,
10,27/04/2022,I Botanici,,Cortile Cafè,Concerto,1,,,Totale artisti live,71
11,28/04/2022,Tenebra + Chow,,Circolo Dev,Concerto,2,,,,
12,25/05/2022,Leatherette,,Combo,Concerto,2,,,,
13,27/05/2022,Mi Ami Festival - Day 1 ,,"Circolo Magnolia, Milano",Festival,5,,,,
14,28/05/2022,Mi Ami Festival - Day 1 ,,"Circolo Magnolia, Milano",Festival,5,,,,
15,29/05/2022,Mi Ami Festival - Day 1 ,,"Circolo Magnolia, Milano",Festival,5,,,,
16,02/06/2022,Primavera Sound - Weekend 1,,"Parc del Forum, Barcellona",Festival,5,,,,
17,03/06/2022,Primavera Sound - Weekend 2,,"Parc del Forum, Barcellona",Festival,5,,,,
18,04/06/2022,Primavera Sound - Weekend 3,,"Parc del Forum, Barcellona",Festival,5,,,,
19,05/06/2022,Primavera Sound - La Ciutat,,Barcellona,Concerto,5,,,,
20,16/06/2022,Nu Genea live band / Seun Kuti & EGYPT 80,,"Dumbo, Bologna",Concerto,5,,,,
21,21/06/2022,Deftones,,"Ex Caserme Rosse, Bologna",Concerto,2,,,,
22,18/06/2022,Margherita Vicario,,"Dumbo, Bologna",Concerto,2,,,,
23,22/06/2022,Bandabardò & Cisco,,"Giardini Filippo Re, Bologna",Concerto,2,,,,
24,23/06/2022,Chet Faker,,"Ex Caserme Rosse, Bologna",Concerto,2,,,,
25,01/07/2022,Fulminacci,,"Ex Caserme Rosse, Bologna",Concerto,3,,,,
,08/07/2022,Airbourne + Lord of the lost,,"Arena Parco Nord, Bologna",Concerto,,,,,
,,Porridge Radio + Nothing @ Arti Vive,,Soliera (MO),Concerto,,,,,
,,Yves Tumor @ Arti Vive,,Soliera (MO),Concerto,,,,,
26,22/07/2022,Caparezza,,Ferrara,Concerto,1,,,,
,,,,Riccione,Concerto,,,,,
27,29/07/2022,Grupo Compay Segundo ,,Bologna,Concerto,1,,,,
28,30/07/2022,C'mon Tigre,,Ferrara,Concerto,1,,,,
29,03/08/2022,Vieri Cervelli Montel,,Bologna,Concerto,1,,,,
33,01/10/2022,Tutto Molto Bello,,Bolopgna,Concerto,1,,,,
,05/10/2022,Scratch Party | Azione sperimentale di musica e immagini,,"Accademia, Bologna",Concerto,1,,,,
